"Level";"Country";"County";"Place";"void";"Longitude";"Latitude";"ZoomLevel";"Icon"
2;Sweden;Uppsala;Hummelsta;;E;N;10;
2;Sweden;Västra Götaland;Hunnebostrand;;E11.30;N58.43;10;
2;Sweden;Västernorrland;Husum;;E19.17;N63.33;10;
2;Sweden;Skåne;Hyllinge;;E12.85;N56.10;10;
2;Sweden;Halland;Hyltebruk;;E13.23;N57.00;10;
2;Sweden;Skåne;Idala;;E;N;10;
2;Sweden;Dalarna;Idre;;E12.70;N61.87;10;
2;Sweden;Västra Götaland;Igelstorp;;E13.97;N58.40;10;
2;Sweden;Gävleborg;Iggesund;;E17.08;N61.64;10;
2;Sweden;Västernorrland;Indal;;E17.10;N62.57;10;
2;Sweden;Västra Götaland;Ingared;;E;N;10;
2;Sweden;Kronoberg;Ingelstad;;E;N;10;
2;Sweden;Dalarna;Insjön;;E15.08;N60.68;10;
2;Sweden;Västmanland;Irsta;;E16.70;N59.60;10;
2;Sweden;Blekinge;Jämjö;;E15.82;N56.18;10;
2;Sweden;Blekinge;Jämshög;;E14.52;N56.23;10;
2;Sweden;Gävleborg;Järbo;;E16.60;N60.72;10;
2;Sweden;Stockholm;Järna;;E17.57;N59.10;10;
2;Sweden;Dalarna;Järna;;E14.37;N60.53;10;
2;Sweden;Västra Götaland;Järpås;;E12.97;N58.38;10;
2;Sweden;Jämtland;Järpen;;E13.48;N63.35;10;
2;Sweden;Gävleborg;Järvsö;;E16.17;N61.72;10;
2;Sweden;Västernorrland;Johannedal;;E17.37;N62.43;10;
2;Sweden;Blekinge;Johannishus;;E15.42;N56.22;10;
2;Sweden;Norrbotten;Jokkmokk;;E19.85;N66.60;10;
2;Sweden;Jönköping;Jönköping;;E14.17;N57.78;10;
2;Sweden;Västra Götaland;Jonsered;;E12.17;N57.75;10;
2;Sweden;Skåne;Jonstorp;;E;N;10;
2;Sweden;Stockholm;Jordbro;;E18.12;N59.15;10;
2;Sweden;Västra Götaland;Jörlanda;;E11.82;N57.98;10;
2;Sweden;Västerbotten;Jörn;;E20.03;N65.07;10;
2;Sweden;Värmland;Jössefors;;E12.47;N59.68;10;
2;Sweden;Västernorrland;Junsele;;E16.90;N63.68;10;
2;Sweden;Östergötland;Jursla;;E16.18;N58.67;10;
2;Sweden;Västerbotten;Kåge;;E20.98;N64.83;10;
2;Sweden;Skåne;Kågeröd;;E13.10;N56.02;10;
2;Sweden;Västra Götaland;Kåhög;;E12.13;N57.75;10;
2;Sweden;Norrbotten;Kalix;;E23.13;N65.85;10;
2;Sweden;Västra Götaland;Källby;;E13.32;N58.52;10;
2;Sweden;Västra Götaland;Kållered;;E12.05;N57.60;10;
2;Sweden;Blekinge;Kallinge;;E15.28;N56.23;10;
2;Sweden;Kalmar;Kalmar;;E16.36;N56.67;10;
2;Sweden;Stockholm;Karby;;E;N;10;
2;Sweden;Uppsala;Karlholmsbruk;;E17.62;N60.52;10;
2;Sweden;Västra Götaland;Karlsborg;;E14.52;N58.53;10;
2;Sweden;Blekinge;Karlshamn;;E14.87;N56.17;10;
2;Sweden;Örebro;Karlskoga;;E14.50;N59.33;10;
2;Sweden;Blekinge;Karlskrona;;E15.59;N56.18;10;
2;Sweden;Värmland;Karlstad;;E13.51;N59.38;10;
2;Sweden;Södermanland;Katrineholm;;E16.20;N58.99;10;
